Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-24.969	0	-24.969	12.0694	0.140681	0.13167	0.2135	0.0716408	0.0461217	0.00914005	0.016048	0.124886	0.0255487	0.189639	0.0904889	0.0311416	0.000964327	0.219901	0.0131123	0.0648727	0.048432	0.0867661	0.0421566	0.0193105	0.142894	0.112333	0.134101	0.20806	0.000277559	0.0947425	0.182599	0.212361	0.425028	0.128821	0.00801339	0.00884204	0.037873	0.234167	0.0242543	0.183987	0.0112755	0.013138	0.00830355	0.0801917	0.0172783	0.314005	0.0445891	0.35999	0.124473	0.0452475	0.153172	0.0546221	0.262495	0.661476	0.884464	1.06844	1.38562	0.103966	0.0357154	0.0558914	0.804427	4.21315
10	-34.4579	0	-34.4579	7.36495	0.17935	0.0456773	0.227619	0.397799	0.121078	0.0112842	0.0416882	0.119131	0.0920014	0.106223	0.122416	0.0158028	0.00172488	0.171513	0.0173825	0.0750388	0.451287	0.184452	0.109624	0.0537995	0.129794	0.201945	0.0678776	0.1642	0.001787	0.0875817	0.350835	0.226189	0.285924	0.486977	0.0123373	0.0202715	0.0112716	0.0611899	0.0420357	0.0333224	0.0186636	0.013022	0.00780632	0.185698	0.0161343	0.142058	0.07376	0.032059	0.093265	0.130911	0.412672	0.0331262	0.297966	0.578029	0.845	1.0781	1.49887	0.281754	0.622026	0.064023	0.0321978	5.18557
20	-34.8997	0	-34.8997	2.05003	0.161554	0.0983924	0.542979	0.348964	0.116941	0.0054752	0.0606437	0.042821	0.153256	0.188747	0.237024	0.00488429	0.00365741	0.0852778	0.00777271	0.0948005	0.186286	0.127109	0.307961	0.0485034	0.295065	0.10079	0.196421	0.350027	0.00100806	0.0770422	0.278111	0.128091	0.279371	0.209815	0.00841681	0.0322865	0.0119547	0.106548	0.0416318	0.0342126	0.0227727	0.0268569	0.00602551	0.0848519	0.0124901	0.0944272	0.0350555	0.0101255	0.00432642	0.957443	0.000509549	0.0240348	0.00356038	0.299174	0.66023	1.07119	1.9694	0.170284	0.771106	0.0409439	0.0176664	5.25632
30	-23.893	0	-23.893	1.29648	0.292606	0.262089	0.387483	0.252875	0.0400717	0.0035282	0.0495813	0.0430386	0.183687	0.0955528	0.207682	0.00224689	0.00744578	0.110505	0.00236502	0.134907	0.0991548	0.145936	0.0759801	0.0684111	0.113556	0.049739	0.112098	0.235454	0.00224882	0.0473473	0.0922017	0.034007	0.0326366	0.0679372	0.00240016	0.0388355	0.00757656	0.321961	0.107194	0.0486817	0.0388884	0.0119942	0.0189306	0.0291863	0.0181669	0.174381	0.0888603	0.00541696	0.051096	0.306535	0.000616417	0.635103	0.00123298	0.192103	0.550758	1.03584	2.2213	0.172521	0.820514	0.00290042	0.00406439	4.15943
40	-26.8494	0	-26.8494	0.716562	0.0905856	0.413676	0.136221	0.108845	0.122261	0.00418336	0.0511532	0.0312866	0.0798126	0.0684905	0.183828	0.00338747	0.00523116	0.138199	0.000857773	0.0785893	0.181767	0.249851	0.0340789	0.0534968	0.155621	0.0508149	0.390715	0.531473	0.0086831	0.0483997	0.0647902	0.0402125	0.0308175	0.0922714	0.00188059	0.0277925	0.00771634	0.122042	0.138298	0.0187557	0.0371036	0.045123	0.0670519	0.0257561	0.0953512	0.310557	0.110936	0.00577679	0.0720594	0.620607	0.000798537	0.300441	0.000317337	0.0777288	0.371241	0.930854	2.62018	0.532418	0.109788	0.025814	0.33198	4.45796
50	-31.3905	0	-31.3905	2.1328	0.12402	0.128896	0.0798963	0.253487	0.171473	0.00163165	0.341959	0.0601069	0.186109	0.0318897	0.304138	0.00151479	0.00258632	0.0352687	0.00426053	0.075647	0.31985	0.337726	0.0391443	0.14438	0.275613	0.00856514	0.116743	0.445058	0.00625007	0.11515	0.0658072	0.0347408	0.0430976	0.159636	0.000844692	0.0838227	0.00985582	0.0228474	0.102948	0.00463257	0.114287	0.0714292	0.122921	0.0164103	0.0859912	0.163719	0.190638	0.00200122	0.0791115	0.168797	0.009322	0.740295	0.00047368	0.308628	0.668431	1.07298	1.94996	0.502482	0.170301	0.0654129	0.261804	4.90499
60	-29.117	0	-29.117	2.03833	0.11326	0.0383404	0.119384	0.225533	0.0670127	0.00113367	0.270167	0.096514	0.0968471	0.0128055	0.133879	0.00140482	0.00526393	0.0951288	0.00150146	0.103105	0.236428	0.417671	0.1594	0.190756	0.216743	0.0152462	0.0497752	0.150398	0.010256	0.134409	0.0543279	0.0154446	0.139523	0.115671	0.000910826	0.0395916	0.0264928	0.108579	0.0625793	0.00328002	0.168124	0.117226	0.103311	0.038294	0.109362	0.129407	0.483632	0.029467	0.12841	0.212908	0.00419194	0.622987	0.00203609	0.297808	0.659029	1.07092	1.97224	0.89987	0.091301	0.000725444	0.00810359	4.67812
70	-21.6406	0	-21.6406	14.9167	0.111182	0.117552	0.103678	0.152838	0.0640914	0.00514057	0.230862	0.115352	0.0951643	0.0112446	0.12132	0.00636116	0.00667205	0.0277026	0.00448567	0.0727575	0.177702	0.276567	0.0631721	0.104576	0.203151	0.0262424	0.0647412	0.0518926	0.018068	0.0480606	0.102366	0.042892	0.0299669	0.100401	0.00166321	0.0589051	0.0374117	0.0643473	0.0397222	0.00423222	0.161537	0.0765084	0.158282	0.0435368	0.0979509	0.0728499	0.492929	0.562803	0.177601	0.0804813	0.00414628	0.170445	0.00452336	0.692735	0.89793	1.06392	1.34541	0.224778	0.296865	0.0141009	0.464257	3.86608
80	-13.6435	0	-13.6435	8.80077	0.0603636	0.170236	0.0271664	0.0518605	0.109168	0.00377187	0.0993199	0.125321	0.0093139	0.0276786	0.0315897	0.0275838	0.00904827	0.0463807	0.00445419	0.0203118	0.0812049	0.14969	0.0417781	0.0727449	0.144124	0.0134876	0.116553	0.0229209	0.0457335	0.0100867	0.154062	0.0483186	0.0390724	0.101399	0.00458905	0.0485345	0.0842755	0.0863115	0.0294854	0.0114875	0.17879	0.0863348	0.0648998	0.0329409	0.0765542	0.0810151	0.446984	0.620414	0.0688461	0.0372748	0.00752024	0.262479	0.00346564	0.609857	0.860691	1.07486	1.45459	0.417005	0.0305094	0.000656439	0.551829	3.09695
90	-24.2474	0	-24.2474	36.0251	0.39698	0.0361752	0.0465217	0.0668517	0.150561	0.006726	0.0379412	0.245688	0.00305742	0.0391743	0.0117553	0.0587855	0.006838	0.0373083	0.00549189	0.0170385	0.0209808	0.094439	0.175948	0.156879	0.193293	0.01834	0.379409	0.0280886	0.0245954	0.00783439	0.256031	0.0120021	0.0666031	0.10963	0.0022408	0.14842	0.182658	0.0550241	0.0131686	0.00314354	0.391462	0.176772	0.0492887	0.0359433	0.0565233	0.0597883	0.135825	0.174555	0.0571245	0.359738	0.164666	0.242452	0.00146438	0.796882	0.938273	1.04589	1.21895	0.413494	0.0420366	0.00239133	0.542078	4.02122
