Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-20321.7	-20299.1	-22.5896	75.4768	0.21968	0.189828	0.0399895	0.134658	0.056982	0.109553	0.157288	0.0109342	0.109218	0.160863	0.0549004	0.076751	0.0355782	0.229094	0.025248	0.0767728	0.0700208	0.12593	0.244978	0.0317469	0.00241299	0.129094	0.00878742	0.16409	0.00342387	0.117827	0.0131476	0.0151817	0.252149	0.0237901	0.00209972	0.0401307	0.075707	0.100949	0.0396092	0.031926	0.0733343	0.0153671	0.0250265	0.0498287	0.0251305	0.0631834	0.225977	0.156248	0.044946	0.0233555	0.38846	0.304161	0.0828294	0.857717	0.95894	1.03349	1.14985	0.0790631	0.128188	0.200553	0.592197	3.65818
10	-15943.2	-15928.7	-14.5143	12.1675	0.186588	0.147846	0.0906207	0.0991492	0.0922423	0.185412	0.113046	0.0239094	0.10734	0.108224	0.14947	0.122313	0.134275	0.0848324	0.0371376	0.103624	0.0979802	0.243234	0.164534	0.0736053	0.0145367	0.1262	0.0681799	0.0586553	0.0138598	0.0438483	0.00622882	0.0142235	0.0939029	0.0123287	0.0234475	0.0288582	0.024133	0.0223319	0.0401207	0.0347177	0.0496112	0.00763814	0.0055702	0.0301747	0.0098853	0.01233	0.0610298	0.241615	0.150568	0.0612074	0.0997537	0.437288	0.0095676	0.662719	0.885012	1.06827	1.384	0.1697	0.267222	0.151232	0.411847	3.1672
20	-14142.8	-14122.9	-19.9553	0.316996	0.298043	0.163967	0.13124	0.126264	0.11046	0.232809	0.15963	0.0497665	0.133021	0.116023	0.158619	0.146486	0.170761	0.0757342	0.0780729	0.172482	0.172119	0.235916	0.139367	0.0981291	0.0305563	0.128573	0.121456	0.0646739	0.0370375	0.0205805	0.00531153	0.00866038	0.0406139	0.00491401	0.0651574	0.0232467	0.0430908	0.0101711	0.0389275	0.0211315	0.0340266	0.00441243	0.00526321	0.0347778	0.00972317	0.00965548	0.0396831	0.16307	0.231744	0.0631068	0.0608849	0.46766	0.0135342	0.00677487	0.117765	0.623271	3.25219	0.314977	0.264783	0.149852	0.270388	3.77055
30	-13851.6	-13831.3	-20.2828	0.325515	0.262562	0.0765057	0.17878	0.113246	0.0937059	0.196863	0.138767	0.136216	0.142359	0.113754	0.154939	0.108602	0.127585	0.0703878	0.09032	0.125346	0.177241	0.286867	0.112082	0.102307	0.0640648	0.0659617	0.107651	0.0296984	0.13748	0.018445	0.0112797	0.00778686	0.0283451	0.00230667	0.0669048	0.0376195	0.178407	0.0196831	0.022626	0.0236609	0.0240366	0.00667344	0.063463	0.0398633	0.00968635	0.004316	0.0248625	0.149692	0.212733	0.0621128	0.0156297	0.547408	0.012424	0.00759167	0.124434	0.636265	3.23171	0.300046	0.286806	0.162316	0.250832	3.80326
40	-13712.9	-13689.5	-23.3696	0.320279	0.189513	0.0610593	0.171934	0.135159	0.0972054	0.257899	0.211785	0.165774	0.129193	0.0980532	0.150664	0.15301	0.113373	0.087255	0.0829015	0.130566	0.17141	0.243716	0.105779	0.0808071	0.137206	0.0825001	0.0949958	0.0270555	0.13974	0.0326231	0.0996724	0.0102119	0.0350657	0.00216603	0.0725104	0.0882805	0.128431	0.0238888	0.00498714	0.0106166	0.0203463	0.0475878	0.165561	0.0277082	0.00635615	0.00261216	0.0147829	0.124962	0.213389	0.07038	0.0192789	0.549097	0.0228937	0.00708379	0.120335	0.628339	3.24424	0.287918	0.313667	0.163207	0.235208	4.11196
50	-13674.5	-13647.5	-26.9723	0.34066	0.247928	0.0689048	0.216057	0.15586	0.0886358	0.290694	0.169717	0.165774	0.163767	0.141948	0.179714	0.128412	0.136711	0.0977723	0.0976321	0.12642	0.193669	0.162761	0.137959	0.0998721	0.145307	0.0976719	0.0906589	0.0567238	0.179669	0.0363462	0.20739	0.0246864	0.0287104	0.00193154	0.0607891	0.109677	0.0823654	0.0205836	0.0144784	0.011741	0.0146305	0.0205163	0.166506	0.0166142	0.00255129	0.0107219	0.00165631	0.115082	0.216985	0.071566	0.0147383	0.558349	0.0232794	0.00916489	0.136278	0.658175	3.19638	0.294285	0.320603	0.144704	0.240408	4.47213
60	-13669.8	-13636.1	-33.7022	0.34066	0.206775	0.0575728	0.248308	0.176731	0.117291	0.324865	0.21367	0.240299	0.161438	0.161417	0.169352	0.166705	0.166307	0.123995	0.135684	0.139514	0.198442	0.198871	0.170069	0.108846	0.182925	0.0923387	0.123352	0.102751	0.132973	0.0190364	0.224354	0.0134271	0.0461152	0.00106174	0.138858	0.154017	0.0730321	0.00238504	0.0193546	0.0129941	0.0104934	0.0322341	0.239268	0.0244942	0.00203035	0.00534767	0.00613409	0.0969982	0.205081	0.0642815	0.0140807	0.596326	0.0232328	0.00916489	0.136278	0.658175	3.19638	0.294285	0.320603	0.144704	0.240408	5.14513
70	-13668	-13633.1	-34.9547	0.313954	0.298149	0.0454423	0.291153	0.226431	0.130227	0.319952	0.230695	0.197911	0.192023	0.170673	0.154883	0.226744	0.147691	0.133434	0.102056	0.115666	0.236414	0.231301	0.128277	0.117145	0.159495	0.093862	0.0989383	0.0863821	0.218436	0.0347875	0.225438	0.00552563	0.0350915	0.000580541	0.046261	0.147989	0.108781	0.0201053	0.0193754	0.00593776	0.00653068	0.0385301	0.189902	0.0191094	0.00410784	0.00457783	0.00449041	0.0915062	0.208321	0.0652973	0.0124434	0.60575	0.016682	0.00649528	0.115385	0.618509	3.25961	0.28468	0.342776	0.139981	0.232563	5.2705
80	-13664.2	-13624.7	-39.5117	0.343312	0.285612	0.0571677	0.269665	0.17737	0.117882	0.425477	0.223861	0.182363	0.140978	0.158182	0.275794	0.23479	0.143103	0.126992	0.167788	0.181969	0.202693	0.257931	0.17491	0.120121	0.206277	0.0926438	0.147956	0.0570024	0.228838	0.0472487	0.247509	0.0128756	0.0252774	0.000282644	0.114658	0.146941	0.114829	0.0056518	0.0127009	0.00316981	0.0366868	0.042472	0.200577	0.0350427	0.0145307	0.0028052	0.00543284	0.0899971	0.204886	0.0732124	0.010385	0.59576	0.02576	0.00945606	0.138347	0.661862	3.19033	0.28468	0.342776	0.139981	0.232563	5.72606
90	-13565.3	-13520.8	-44.582	0.338724	0.339125	0.0946706	0.304889	0.219889	0.118728	0.390971	0.255055	0.178689	0.19298	0.196597	0.235086	0.227608	0.215882	0.145608	0.142528	0.169789	0.29884	0.447493	0.188967	0.174419	0.164876	0.172933	0.11988	0.0890328	0.214347	0.0594092	0.178011	0.00988587	0.0376408	0.000209132	0.103912	0.0662419	0.0368947	0.00386645	0.00225146	0.0102703	0.0364543	0.0228775	0.290887	0.0324552	0.0192077	0.00469981	0.0190558	0.0773346	0.176059	0.0629115	0.00839873	0.639085	0.0362121	0.00895531	0.134766	0.655456	3.20082	0.293752	0.353699	0.119578	0.232971	6.23311
100	-13558.1	-13507.5	-50.6383	0.301878	0.338433	0.11226	0.33276	0.234353	0.147827	0.364458	0.291864	0.247765	0.253301	0.165915	0.313828	0.316542	0.227629	0.167818	0.211936	0.192296	0.241342	0.509258	0.189365	0.154747	0.204504	0.172902	0.106012	0.0426412	0.353728	0.0473991	0.155526	0.0199816	0.0368976	0.000171993	0.180458	0.0312382	0.0253041	0.00289822	0.00349146	0.026653	0.034528	0.0367733	0.226729	0.0328457	0.0523472	0.0108498	0.0213482	0.0638787	0.180513	0.0645033	0.0125429	0.655255	0.0233062	0.00544889	0.105957	0.598943	3.28965	0.292922	0.352699	0.122066	0.232313	6.83893
110	-13549.8	-13489.7	-60.1425	0.289774	0.351212	0.153752	0.36402	0.226439	0.193659	0.45762	0.332981	0.264646	0.292053	0.228293	0.289765	0.346653	0.287701	0.143879	0.158426	0.216268	0.282075	0.60285	0.20167	0.208545	0.293421	0.141471	0.166963	0.100115	0.380178	0.0880334	0.165548	0.00485518	0.0488455	0.000358888	0.110028	0.0177778	0.00444941	0.00188376	0.009325	0.0234406	0.0137663	0.0520773	0.435603	0.019963	0.056042	0.00352916	0.0492252	0.0640785	0.181078	0.064705	0.0094553	0.657304	0.023379	0.00450256	0.0965676	0.578224	3.32071	0.303979	0.353028	0.110462	0.23253	7.78941
