Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
0	-20446.7	-20424.1	-22.6099	0.0550709	0.018467	0.260309	0.0514356	0.14517	0.0047558	0.01179	0.0456059	0.128824	0.0187113	0.221136	0.28207	0.116428	0.00775292	0.178391	0.0559799	0.0632069	0.0854194	0.0528254	0.0688109	0.00870731	0.0299391	0.135976	0.045441	0.106908	0.00717744	0.131722	0.135277	0.0568035	0.0124287	0.0729921	0.0740617	0.13104	0.00486458	0.102846	0.0621533	0.168852	0.182416	0.00302575	0.038762	0.0970823	0.17864	0.019973	3.67925
10	-18257.8	-18239.3	-18.4728	0.12081	0.0280854	0.160559	0.121474	0.102695	0.00762759	0.0257405	0.0861403	0.188427	0.0628618	0.142517	0.104448	0.188669	0.024603	0.132724	0.121977	0.121168	0.102947	0.10433	0.175248	0.0429424	0.0798398	0.151109	0.0802467	0.0285713	0.0212802	0.0321343	0.107098	0.0216396	0.00500558	0.0533248	0.0391044	0.0450568	0.00713556	0.0197011	0.0704067	0.0440026	0.11074	0.00365639	0.08623	0.0424889	0.0440781	0.00668787	3.26553
20	-17318.4	-17297	-21.4175	0.157841	0.0669538	0.0906441	0.144011	0.122496	0.0243186	0.107809	0.201326	0.200909	0.129836	0.181274	0.161178	0.0887646	0.0828665	0.107141	0.139812	0.0443301	0.135199	0.114179	0.143993	0.10733	0.149125	0.152947	0.0554751	0.0174283	0.0393376	0.0342814	0.111419	0.0390747	0.0124176	0.011171	0.0302125	0.0218127	0.0104023	0.0312927	0.0562943	0.0191965	0.03272	0.0262893	0.0398736	0.0210379	0.0912291	0.00474986	3.56
30	-16949.1	-16929.2	-19.9698	0.121863	0.148469	0.110064	0.09839	0.123657	0.0651644	0.216595	0.156413	0.124221	0.133707	0.0780034	0.155867	0.0952952	0.0769429	0.120609	0.143562	0.0578266	0.0963616	0.0944095	0.138134	0.117741	0.133547	0.152947	0.0849239	0.0726923	0.0253465	0.0239179	0.0517665	0.0380311	0.0330075	0.00570887	0.0164066	0.0143232	0.0185689	0.0306057	0.0287143	0.0173213	0.0159752	0.0498896	0.00906432	0.0109007	0.102197	0.00608446	3.41524
40	-16906.6	-16885.9	-20.692	0.149783	0.151925	0.0942926	0.104017	0.115674	0.0998473	0.216909	0.150584	0.182966	0.136847	0.0819405	0.139811	0.115212	0.0814161	0.112359	0.140457	0.0610483	0.115033	0.0976076	0.129029	0.1173	0.124779	0.166029	0.0667806	0.0756623	0.0146047	0.0226028	0.0385465	0.0367803	0.0341239	0.00563182	0.034296	0.010348	0.0205028	0.0251085	0.037392	0.00918305	0.0355226	0.0300131	0.0133555	0.00474518	0.0818784	0.00550879	3.48745
50	-16829.5	-16809.9	-19.6217	0.172864	0.134302	0.0942926	0.106787	0.101788	0.0971252	0.199447	0.141391	0.131359	0.145727	0.0776178	0.136099	0.0964071	0.075069	0.0898139	0.11516	0.0415929	0.0975351	0.0996541	0.148409	0.138703	0.0985507	0.138724	0.0538793	0.0455158	0.00628147	0.0253048	0.0379488	0.0402415	0.0331727	0.00562587	0.0554927	0.0423031	0.0103368	0.022628	0.0378111	0.00529253	0.0591333	0.0888765	0.015918	0.00730376	0.101244	0.00769695	3.38042
60	-16425.1	-16406.9	-18.2356	0.0763162	0.132088	0.120047	0.106787	0.0944132	0.0965587	0.12655	0.162216	0.118379	0.135992	0.096095	0.126394	0.115212	0.0918533	0.11021	0.139492	0.0689685	0.105494	0.0872915	0.132027	0.127712	0.0846266	0.123226	0.0485774	0.0436154	0.00468359	0.0229339	0.0321249	0.0380664	0.0607688	0.00290043	0.020939	0.0429058	0.0145499	0.015228	0.0314815	0.00311615	0.087902	0.0810363	0.0205301	0.0114318	0.0686765	0.0123938	3.24181
70	-16293.1	-16274.2	-18.8786	0.0765567	0.114891	0.106565	0.109397	0.0834656	0.0872587	0.136654	0.160396	0.156796	0.135992	0.0761672	0.117076	0.0853082	0.0901015	0.101565	0.161988	0.0488825	0.0932351	0.107937	0.132027	0.106191	0.0900265	0.135236	0.0697269	0.0591803	0.0189385	0.0146583	0.0377865	0.0924074	0.128494	0.00054651	0.0333922	0.047387	0.00976	0.0164236	0.0379249	0.00315984	0.0551366	0.0652264	0.0406542	0.0250455	0.0243618	0.012193	3.30612
80	-16211.1	-16192.5	-18.5815	0.0867643	0.107202	0.113826	0.108346	0.092912	0.0744681	0.139627	0.152958	0.13838	0.130738	0.0774674	0.0883064	0.10262	0.0842349	0.107213	0.141669	0.0897441	0.0969565	0.118733	0.100847	0.10759	0.0896494	0.217183	0.0425793	0.0316619	0.0446438	0.0204022	0.0452981	0.0958112	0.0593294	0.000604348	0.0203726	0.0409668	0.0029307	0.021616	0.0446618	0.00250328	0.0519047	0.0312054	0.0527861	0.0648639	0.017055	0.0177712	3.2764
90	-16109.4	-16091.3	-18.1016	0.0722354	0.117466	0.130973	0.102114	0.0664051	0.0807481	0.100211	0.180397	0.138837	0.130738	0.0868112	0.0732943	0.0951687	0.0664789	0.114822	0.144217	0.053502	0.0969565	0.102707	0.127105	0.116945	0.0913834	0.202391	0.034956	0.0771693	0.0221302	0.0221181	0.0433516	0.0943834	0.0378616	0.000417996	0.0297051	0.0332473	0.00591181	0.024161	0.0208301	0.00281729	0.104465	0.023596	0.0575577	0.0606941	0.0233744	0.0177655	3.22842
