Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-26347.6	-26324.2	-23.4305	7.85218	0.154657	0.00522125	0.0105072	0.0580944	0.0387183	0.124394	0.00307814	0.321074	0.0322866	0.125133	0.0960944	0.0735755	0.48164	0.00874077	0.0892179	0.10261	0.0267469	0.274075	0.012544	0.0239687	0.0588594	0.106895	0.245917	0.164631	0.064042	0.0046221	0.325257	0.234966	0.16289	0.00146142	0.0192179	0.0140112	0.0101236	0.0308224	0.0916231	0.00251353	0.099306	0.0481411	0.0461614	0.163396	0.0393016	0.196964	0.0055371	0.287187	0.197369	0.199482	0.232419	0.0662033	0.0173384	0.589704	0.850852	1.07698	1.48246	0.00894098	0.185355	0.724108	0.0815955	4.19904
10	-15439.8	-15426.2	-13.6088	0.244509	0.123045	0.0108125	0.0513506	0.120877	0.131002	0.104162	0.0137873	0.125058	0.104373	0.08635	0.124119	0.0942235	0.188538	0.0155271	0.0737152	0.172189	0.0576613	0.0823916	0.0407057	0.0638399	0.1455	0.0898812	0.233827	0.0142902	0.0279173	0.00803853	0.0952158	0.0156312	0.16174	0.00364943	0.0569287	0.0138456	0.00422748	0.00694009	0.019947	0.018535	0.0241381	0.149593	0.0195281	0.122424	0.00965097	0.0682122	0.00654205	0.0952718	0.272521	0.281343	0.0670339	0.273521	0.0103084	0.00186563	0.0627538	0.489761	3.44562	0.222296	0.502859	0.116799	0.158045	3.09993
20	-14515.7	-14487.8	-27.8724	0.246099	0.178584	0.0989762	0.0695695	0.110778	0.222171	0.153534	0.0890894	0.177772	0.183585	0.16245	0.201766	0.101793	0.411707	0.0320001	0.101937	0.305379	0.113718	0.144949	0.1286	0.272818	0.146648	0.0695701	0.184829	0.00491104	0.0605379	0.00384453	0.205216	0.0544064	0.080151	0.0082311	0.0322187	0.0157739	0.00549697	0.0086797	0.0141014	0.0653885	0.0185478	0.10853	0.0155021	0.0826411	0.0108786	0.0392044	0.00708273	0.0610681	0.203243	0.105307	0.0163048	0.597974	0.0161039	0.00193491	0.0638876	0.493187	3.44099	0.335333	0.347148	0.132686	0.184832	4.50357
30	-14292.4	-14254.8	-37.5581	0.266413	0.289662	0.21866	0.0768493	0.122724	0.17824	0.25597	0.162212	0.25331	0.181374	0.15243	0.206924	0.143605	0.452697	0.0332441	0.215682	0.395954	0.106934	0.164791	0.143504	0.341319	0.22535	0.0682251	0.177998	0.00792435	0.0824563	0.0078925	0.210732	0.0247359	0.0268093	0.005956	0.0270469	0.0215756	0.00240212	0.00566832	0.00724636	0.0607674	0.0363484	0.118678	0.047852	0.136656	0.0257607	0.0427123	0.00352066	0.0601971	0.20041	0.114136	0.0154997	0.589641	0.020116	0.00296652	0.0787732	0.534845	3.38342	0.325518	0.347285	0.128803	0.198394	5.4704
40	-14095.3	-14053.6	-41.7174	0.31578	0.314053	0.256524	0.0768866	0.148061	0.211471	0.194093	0.135937	0.288267	0.146013	0.199625	0.419604	0.0701048	0.466893	0.129145	0.265868	0.394081	0.0819502	0.170409	0.16856	0.323661	0.265665	0.0855216	0.188628	0.0295076	0.0404894	0.0145584	0.223297	0.0214054	0.0174	0.00630607	0.0434427	0.0322846	0.00170967	0.0157308	0.0106225	0.0370726	0.0340348	0.138571	0.0237743	0.100583	0.0569448	0.0292645	0.007076	0.0569911	0.198608	0.112078	0.0153603	0.584338	0.0326248	0.00666237	0.116813	0.621376	3.25515	0.322824	0.34441	0.127737	0.205029	5.8851
50	-13854	-13794.7	-59.294	0.296922	0.371869	0.437482	0.114623	0.187124	0.278485	0.226734	0.215243	0.369604	0.234978	0.153842	0.352626	0.109426	0.593873	0.139058	0.318594	0.507534	0.114504	0.193156	0.242017	0.665753	0.278599	0.12041	0.207119	0.037549	0.0366271	0.0668375	0.255695	0.023863	0.0100984	0.00494411	0.126478	0.03219	0.00131035	0.0244985	0.031297	0.0514476	0.0821679	0.079322	0.0161195	0.280158	0.0271777	0.0150618	0.00481316	0.0614945	0.210899	0.0726865	0.0110293	0.608688	0.0352027	0.00504892	0.102102	0.590597	3.30225	0.333239	0.355522	0.0995941	0.211644	7.64031
60	-13798.3	-13743.6	-54.7018	0.272757	0.371172	0.348164	0.120452	0.19197	0.23293	0.226496	0.261064	0.411033	0.207473	0.225356	0.298329	0.0869438	0.470874	0.14099	0.315568	0.388633	0.122561	0.322083	0.239901	0.534508	0.253067	0.118639	0.167312	0.0217651	0.0174106	0.0832961	0.257926	0.0165011	0.00740694	0.0128261	0.194329	0.00925368	0.00392443	0.0341279	0.0296296	0.0397953	0.0732645	0.0595259	0.0179235	0.214653	0.00608987	0.0176531	0.00584869	0.0621352	0.213096	0.0663959	0.0130027	0.615029	0.0303409	0.00334603	0.0835485	0.547085	3.36602	0.343996	0.341805	0.0957228	0.218476	7.17867
70	-13714.3	-13656.4	-57.8556	0.30125	0.312382	0.362468	0.0970791	0.214619	0.23293	0.230805	0.218187	0.495277	0.263782	0.306824	0.397109	0.0764661	0.430977	0.162292	0.486446	0.420268	0.0978637	0.265943	0.186121	0.540072	0.229402	0.0878424	0.14811	0.0255659	0.0761648	0.0490227	0.120958	0.0136461	0.010678	0.0166639	0.093415	0.0287126	0.00337238	0.0989315	0.0552427	0.0268344	0.0836792	0.0773728	0.0244222	0.354333	0.00486705	0.0573947	0.00936297	0.0504534	0.215833	0.0672486	0.0164823	0.622928	0.027055	0.00539726	0.105468	0.597896	3.29124	0.343996	0.341805	0.0957228	0.218476	7.4939
80	-13668.1	-13610.2	-57.9361	0.314528	0.26689	0.362468	0.097233	0.235472	0.247928	0.26849	0.269465	0.501621	0.187794	0.20538	0.377337	0.155249	0.501168	0.174911	0.278767	0.390103	0.0747457	0.228144	0.221057	0.689632	0.255324	0.0833918	0.167222	0.012439	0.069826	0.0699566	0.11977	0.00416098	0.0237877	0.0238071	0.0743421	0.0242811	0.00630472	0.150258	0.0480719	0.070117	0.088684	0.0411059	0.0588481	0.297815	0.00293361	0.0434094	0.0319298	0.0498618	0.213302	0.0708754	0.016289	0.615624	0.0340476	0.00654755	0.115834	0.619413	3.25821	0.345054	0.339781	0.0960171	0.219148	7.50164
90	-13575.2	-13515.5	-59.6983	0.31793	0.26689	0.75469	0.210515	0.22745	0.248558	0.278916	0.248466	0.420159	0.239651	0.256041	0.335439	0.102445	0.335545	0.167993	0.382158	0.253155	0.0859387	0.251318	0.232138	0.614814	0.180627	0.0660241	0.175128	0.0210476	0.0830549	0.0757846	0.0370608	0.0130587	0.0343474	0.0415862	0.0551609	0.0700905	0.0211061	0.252624	0.07956	0.102103	0.088684	0.0171292	0.097308	0.187438	0.00611826	0.0295612	0.0309578	0.0503493	0.215388	0.0715682	0.00667247	0.621642	0.0343804	0.00686197	0.118496	0.62472	3.24992	0.345054	0.339781	0.0960171	0.219148	7.67784
